FCGR2C
ERVK-6
LACRT
CRHR2
XPO1
RTKN2
PLLP
OR5B17
HSBP1
PMS2P3
OR7E86P
SNRPD2
OVGP1
OR2M3
ARPC4
NKX1-1
MFSD10
BPIFB2
CASQ1
HMGXB3
OR10V1
ADAMTSL1
TGM7
NMT2
CHURC1-FNTB
TBPL1
UBA6
IFNR
GAB1
CHRDL2
ATP2A2
F12
CD5L
H1-1
BTN3A2
AKIRIN1
CCNB3
NDUFS1
IER2
MMP8
PSPN
MPND
MAFK
UBE2H
SUPT4H1
CHGA
TNKS2
MB
DUSP28
ADCY2
SLIT2
BTG4
AHSP
SERPINB11
SPARC
NPC2
CD5
GIT2
SLC22A25
CD177
GPR21
COLGALT1
ALPP
LOX
POLDIP3
IGFBPL1
CTSA
OR5M8
SLC35E4
SENP7
CLPP
NDUFAF1
APOBEC3H
TFCP2
CSRP3
TRBV20OR9-2
FAM177A1
LMBRD1
GRK7
P2RY2
OR51A7
B3GALT1
CLEC4E
PRKN
CYBB
CHRNG
KIF6
HBB
KCNA2
CYP2C9
CAMLG
PTP4A3
PRR29
SULT2A1
SLC17A7
VASP
NDST4
OR5M5P
IL11RA
EFNB1
SPINK13
ANGPT1
ICAM2
PRSS46P
HAND1
BEGAIN
P2RX1
ACACA
POLRMT
IGLL1
ZUP1
ESAM
ME1
MSMB
HOXB2
SHLD1
PYCR3
VSTM2A
ERN1
OGN
CYP4F11
CASP6
HHEX
IGFL3
VRK1
USP9X
CSH2
NKX6-2
CRP
PEX16
ASXL2
GUK1
PPP3R1
CAMK1
FBXL17
OR5AZ1P
MMP21
COX6A1
RAPGEF3
CITED4
PTPN6
CTH
CRABP2
CARS1
IGLV3-27
TREX2
MAP1A
HSPB8
SLC30A7
GSTA5
MAGED4
SERPINB9
MC5R
CALB2
NCBP1
PARD6B
IL26
MYT1L
METAP2
PPP2R2A
NUDT15
FN1
ARHGEF2
CFD
TUBB4B
PDCD4
DAGLB
SLC41A1
KNDC1
LHX4
SLC6A1
PELP1
OR7C1
LRIT2
TLL2
ATG4C
OR13C9
LYG2
FKTN
STEAP3
PLEKHA1
EMB
OR5AK3P
PHF8
MED13L
PSME2P2
SP6
AK8
PDIA5
MSLN
MYO3B
AGBL5
DSCAM
HTR4
DGAT1
MAPKAPK3
NR4A1
SELENOP
TRBV13
GET1
PDCD6
NEUROD1
LOXL3
RGS9BP
IL6
LIMK2
SCT
SLC25A16
OTOL1
PDXDC1
MFHAS1
ADAM23
IFNL2
NUS1
YWHAE
WRAP53
OPRL1
ZNF287
OR51E2
TMEM123
OR2T2
SCN2A
SEC16A
LTA
POMT2
SLC25A47
NRIP3
ABRAXAS1
UGT1A5
KCNK3
ZSCAN31
ELK4
SFXN2
SLC36A3
ABCC13
AMN
SLC7A2
DUSP23
TYROBP
LAIR2
ENDOG
SLC25A23
PPIP5K1
CPPED1
B4GAT1
IPO9
DRAM1
IL1R1
LRIF1
CALCB
OR8A1
SCN8A
TXNDC9
PKN3
ARSH
VIPR2
SP5
TMPRSS13
RASA1
KBTBD2
XCR1
ALOX5
TENT5C
NUDT1
SLC35A1
TADA3
E4F1
TBL1X
LRAT
ESRRG
STEAP1
GLYR1
FN3K
HP1BP3
STRAP
PTP4A1
SCYL3
BEST3
DUS2
TSPYL1
IGHEP2
KCNK16
GPR158
DCC
TIPARP
BORA
LIN7C
OR4A8
NDUFA3
SLC23A3
MUSK
OR2D2
EPHA2
PKD1L1
TAS2R1
KCNE5
JAM2
ACKR2
CNOT1
UBA5
CCR5
RIDA
PF4
MTRNR2L3
KERA
EGLN1
KBTBD11
ARRDC4
PTDSS1
RAC3
AKR1B15
HMGB2
RXRA
PRSS57
MGAT2
DHRS7C
CBX5
PTPRT
ACSM1
ASTN2
RHBDL2
UCP1
ACADS
VTA1
OR10G6
DECR2
MAST1
NRG2
RECQL4
SLC22A17
LTBP3
